0;0.420795;0.296525;0.0039604;0.173237;0;0;0.104212;0.0960278;0;0;0.0362144;0;0;0;0;0;0;0.0205007;0;0;0;0;0.0817295;0;0;0;0.047619;0
0.73596;0;0.254471;0.0745643;0.26865;0;0;0.242495;0.0910311;0;0;0;0;0;0;0;0;0;0.0323763;0;0;0;0;0.0740741;0;0;0;0.4;0
0.981722;0.926049;0;0;0.460766;0;0;0.604238;0.43038;0;0;0;0.0434783;0;0;0;0;0;0.274665;0;0;0;0;0;0;0;0;0.0740741;0
0;0.914994;0.501372;0;0.48123;0.516461;0;0;0.152941;0;0;0;0.344643;0.489474;0;0;0.365482;0;0.166667;0;0;0;0.330749;0;0;0.0858896;0.360424;1;0
0.890491;0.941682;0.615316;0.837739;0;0.407583;0;0.672775;0.33271;0;0;0.0501672;0.661184;0;0;0.846154;1;0;0.207866;0;0;0;0.5;0.0273973;0;0;0;0.0122699;0
0;0.2;1;0.705882;0.596491;0;0.571429;0.577048;0;0;0.294118;0.269647;0.30303;0.305635;0.0116279;0.473392;0.369565;0.353719;0.333333;0.185567;0.511111;0.666667;0.203037;0.20902;0.395833;0.282373;0.157264;0.0508475;0.205128
0;0;0;0;0;0;0;0;0;0.810881;0.540389;0;0.304982;1;0;0;0;0.0366972;0;0;0.275862;0.143251;0.298452;0.625;0;0;0;0;0
0.75;0.928571;0.956869;0.779661;0.487805;0.49871;0.166667;0;0.833333;0.45;0.195652;0.324779;0.255814;0.272727;0.0769231;0.296617;0.211268;0.318548;0.533333;0.146341;0.0833333;0.666667;0.195699;0.151304;0.0701754;0.258027;0.25161;0.109091;0.390756
0;0.936963;0.664086;0.263736;0.424179;0;1;0.74921;0;0;0;0;0;0.5;0;0.672131;1;0.833333;0.349669;0.25;0.375;1;1;0;1;0.857143;0;0.0731707;0
0;0;0;0;0;0;0;0;0;0;0.578947;0;1;1;0;0.562331;0;0.465582;0;0;0;0.112994;0;0;0.314905;0;0;0;0
0;0;0;0;0;0;0.558918;0;0;0.619663;0;0.5;0.375;0;0;0;0;0.3;0;0;0;0;0.433306;0;0;0.380471;0.5;0;0.114583
0;0.214286;0.520408;0.785714;0.423077;0.553816;1;0.805556;0.5;0.2;0;0;0.441176;0.639604;0.411765;0;0.314815;0.60274;0.280702;0.210915;0;0.375;0;0.611415;0;0.27451;0.5;0.155982;0
0;0.5;0.801802;0.231514;1;0.305085;0.38742;0.490196;0.623932;0;1;0.658847;0;0.676743;0;0.473684;0.442724;0.965517;0.0653595;0;0.420719;0.0576923;0.725869;0.523465;0;0.235294;0.440491;0.641304;0
0;0.655556;0;1;1;0.502056;0;0;1;0;0.5;0.637979;0.903226;0;0.593712;0.428571;0.416807;0;0;0.142857;0.888889;0;0;0.496073;0;0.418919;0.486475;0.0571429;0.335135
0;0.666667;0;0.930233;0;0.369415;0;0.267181;0;0;1;0.694722;0.739583;0.505907;0;0.166667;0.28288;0.3;0.833333;0.597892;0;0;0.111111;0.575342;0;0.221069;0.318171;0.556717;0.340994
0;0;0;0;0;0.59735;0.5;0.257692;0;0.771845;0.4;0.556213;0.61696;0.65966;0.378049;0;0.60947;0.453271;0.444444;0;0.398496;0.642616;0.450226;0.29918;0.568678;0.424658;0.506685;0.340659;0.38986
0;0.687366;0.818182;0.666667;0.413793;0.581419;0.824;0.533404;0;0.833333;0.285714;0.609032;0.723404;0.55977;0.574101;0.528598;0;0.5;0;0.231884;0.698075;0.573427;0.50737;0.522129;0.0941176;0.633877;0.596389;0.153846;0.413043
1;0.571429;0;0;0;1;0.4;0.581395;0;0.63461;0.795872;0;0.2;0.6;0.842105;0.25641;0.285714;0;0.333333;0.75;1;0.667109;0.445887;0.5;0.312009;1;0.666667;0;0.50202
0;0.971429;0.952965;0.6875;0.333333;0.2;0;0.725041;0.679736;0;0;0;0.503722;0;0;0.485866;0;0;0;0;0;0;0;0.2;0;0;0;0.204678;0
0;1;0;1;0;0.583333;0;0;0;0;0;0.701459;0.5;0.485075;0.596277;0;0.558011;0;0;0;0.157895;0;0;0.565771;0;0.680851;0.353846;0.454309;0.410256
0.666667;0.718686;0.918699;0.689135;0.921824;0.50016;0.68593;0.546392;0;1;0.728155;0.360112;0.608491;0.721221;0;0.764423;0.645419;0;1;0;0;1;0.505825;0.133333;0;0.555605;0.496588;0;0.0938628
0;1;0;0;0.84375;0.714286;0.578467;0;0;0.87931;0.704225;0.765416;0.534303;0;0;0.854906;0.473684;0.786102;0;0;0.592883;0;0.266968;0.666667;0.5;0;0;0;0
0;0;0;0;0;0.592593;0.734142;0;0;0;0.674589;0.883721;0.389297;0;0;0.344828;0.578947;0.743206;0;1;0.791569;0.333333;0;0.882353;0;0.397001;0.25;0.6;0.392997
0;0;0;0;1;0;0;0;0;0;0;0.806434;0;0.436202;0.778473;0;0.368421;0;0.428571;0.549963;0;0;0;0;0;1;0.4;0.302248;0
0;0;0;0;0;0;0;0;0;0.551987;0;0;0.666667;1;0;0.650779;0;0.760561;0;0;0;0.61194;0.5;0;0;0;0;0;0.35426
0;0.625;0;0;0;0.555182;0.25;0.693141;0.5;0;0.357143;0.822086;0.5;0;0.121212;0.537313;0.451845;0.605556;0;0.716814;0.925703;0.6;0.49122;0.762367;0.375;0;0.379187;0.716495;0.41158
0;0;1;0.925926;0;0.559509;0;0.727273;0;0;0;0.714286;0.721739;0.477369;0.57293;0.684211;0.616915;0;0;0.714286;0.71137;0;0.0909091;0.673925;0;0.576715;0;0.541195;0.6323
0;1;1;0.714286;0.833333;0.738462;0;0.333333;0;0;0.5;0.880279;0.859155;0.555616;0.65505;0.708861;0.48;0;0.287749;0.457098;0;0;0.666667;0.60643;0;0.789474;0.836364;0;0.85
0;0;0;0;0;1;0.429345;0.666667;0;0.290123;0.825279;0.272727;0.401739;0.857143;0.272727;0.592593;0.848238;0.769086;0;0;0.746099;0.503205;0.782351;0;0.748428;0.643324;0.725775;0;0
